United States Billion-Dollar Disasters By Year (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost values are in billions of dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95,All Disasters Count,All Disasters Cost,All Disasters Lower 75,All Disasters Upper 75,All Disasters Lower 90,All Disasters Upper 90,All Disasters Lower 95,All Disasters Upper 95,,
2008,1,10,9.4,10.7,9.2,11.2,9,11.3,1,14.2,11.2,14,10.6,14.6,10.3,14.9,0,0,0,0,0,0,0,0,6,12.7,12.1,13.8,11.5,14.1,11,14.3,3,51.4,47.1,55.2,45.8,57,45,58,1,1.7,1.7,1.9,1.5,1.9,1.4,2.1,0,0,0,0,0,0,0,0,12,90,81.5,95.6,78.6,98.8,76.7,100.6,,
2009,1,5,4.9,6,4.7,6.3,4.6,6.4,1,1.3,1,1.3,0.8,1.3,0.8,1.3,0,0,0,0,0,0,0,0,6,11.3,10.5,11.5,10.3,11.8,9.9,12,0,0,0,0,0,0,0,0,1,1.4,1.3,1.5,1.3,1.7,1.1,1.7,0,0,0,0,0,0,0,0,9,19,17.7,20.3,17.1,21.1,16.4,21.4,,
2010,0,0,0,0,0,0,0,0,2,5.8,4.2,6,3.9,6.2,3.8,6.7,0,0,0,0,0,0,0,0,4,12.3,12,14,11.7,14.3,11.5,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.1,1.4,1.1,1.5,1.1,1.5,7,19.2,17.3,21.4,16.7,22,16.4,23,,
2011,1,16.4,14.8,16.9,14.4,17.4,14.2,17.8,2,6.8,6.6,7.9,6.3,8.3,6,8.5,0,0,0,0,0,0,0,0,10,43.2,39.5,46.4,38.5,48.4,36.9,50.6,2,21.2,18.6,23.2,18.1,24.2,17.9,24.7,1,2.4,2,2.7,1.9,2.8,1.7,2.9,2,3.7,3.2,3.7,2.8,3.9,2.8,4,18,93.7,84.7,100.8,82,105,79.5,108.5,,
2012,1,39.9,38.4,43.1,37.6,44.3,37.1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21.4,19.8,22.2,19.3,22.6,19.3,23,2,88.2,73.2,96.5,69.3,101.7,67.1,104.7,1,2.3,2,2.5,2,2.6,1.8,2.8,0,0,0,0,0,0,0,0,11,151.8,133.4,164.3,128.2,171.2,125.3,175.5,,
2013,1,13.7,13,14.9,12.6,15.3,12.3,15.7,2,3.3,3,4.1,2.7,4.5,2.7,4.6,0,0,0,0,0,0,0,0,7,13.9,12.9,14.7,12.6,15.4,12.5,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30.9,28.9,33.7,27.9,35.2,27.5,36.1,,
2014,1,5.1,4.4,5.8,4.1,6.2,3.9,6.5,1,1.3,1.3,1.5,1,1.5,1,1.5,0,0,0,0,0,0,0,0,7,15.2,14.5,16.1,14.2,16.7,14.1,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8,2.7,3.1,2.5,3.2,2.3,3.4,10,24.4,22.9,26.5,21.8,27.6,21.3,28.3,,
2015,1,5.8,5.2,7.4,4.9,8,4.6,8.4,2,5.7,4.7,5.9,4.5,6.2,4.4,6.4,0,0,0,0,0,0,0,0,6,10.4,9.8,11.4,9.6,11.8,9.4,12.1,0,0,0,0,0,0,0,0,1,3.8,3.5,4,3.4,4,3.4,4.2,1,3.8,3.7,4,3.6,4.1,3.5,4.3,11,29.5,26.9,32.7,26,34.1,25.3,35.4,,
2016,1,4.4,3,4.8,2.8,5.1,2.5,5.3,4,20.2,15.8,23.7,14.8,25.1,13.9,26,0,0,0,0,0,0,0,0,8,18.2,16.3,18.9,15.5,19.4,15.3,20,1,12.5,9.3,13.6,9,14,8.8,14.4,1,3,2.6,3.1,2.5,3.1,2.5,3.3,0,0,0,0,0,0,0,0,15,58.3,47,64.1,44.6,66.7,43,69,,
2017,1,3.1,2.4,3.3,2.2,3.6,2.1,3.7,2,4,3,4.5,2.8,4.7,2.6,5,1,1.2,1,1.4,1,1.5,0.9,1.5,11,23.8,22.1,25.5,21.3,26.2,20.3,27.3,3,323.3,261,374.5,234.9,411.8,219.6,427,1,22.1,18.2,25.2,17.5,27.1,17.2,27.7,0,0,0,0,0,0,0,0,19,377.5,307.7,434.4,279.7,474.9,262.7,492.2,,
2018,1,3.6,3.3,4.1,3.2,4.3,3.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16.2,14.8,17.4,14,18.7,13.6,19.7,2,58.5,47.8,69.3,41.8,75.3,36.4,80.7,1,28.8,23.8,34,22.8,34.8,21.6,36,2,4,3.4,4.4,3.2,4.6,3.1,4.8,16,111.1,93.1,129.2,85,137.7,77.8,145.8,,
2019,0,0,0,0,0,0,0,0,3,23.8,19,27.8,18.2,29.2,17.1,32.8,0,0,0,0,0,0,0,0,8,16.2,15.1,18.3,14.1,19.1,13.5,20.2,2,7.8,4.9,9.9,4.7,10.7,4.3,11.4,1,5.3,3.9,6.3,3.5,7.1,3,7.7,0,0,0,0,0,0,0,0,14,53.1,42.9,62.3,40.5,66.1,37.9,72.1,,
2020,1,5.2,4.5,5.8,4.3,6.1,4.1,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,39.1,35.9,42.7,34.5,44.5,33,46,7,52,43.6,57.7,40.9,58.2,38.9,61.5,1,19.1,15.7,22.6,15.1,21.8,14.5,23.8,0,0,0,0,0,0,0,0,22,115.4,99.7,128.8,94.8,130.6,90.5,137.7,,
2021,1,9.7,9.2,10.2,8.6,11,8.2,11.6,2,2.8,2.4,3.2,2.3,3.4,2,3.7,0,0,0,0,0,0,0,0,11,22.2,18.9,24.7,18.4,26,17.2,27,4,84.7,72.1,98,68.2,102,61.8,109.1,1,11.5,9.4,13.2,8.8,14,8.2,14.5,1,26.1,23,30.2,22.2,31.2,20.9,32.3,20,157,135,179.5,128.5,187.6,118.3,198.2,,
2022,1,22.4,20,25.6,19.2,26.1,18.4,27.2,1,1.5,1.2,1.7,1.1,1.8,1,2,0,0,0,0,0,0,0,0,11,22,20.2,22.9,19.1,23.8,18.4,24.9,3,117.6,96.8,133.1,90.3,141.6,81.5,152.7,1,3.2,2.6,3.7,2.4,3.8,2.3,3.9,1,8.5,7.7,9.1,7.3,9.8,6.9,10.4,18,175.2,148.5,196.1,139.4,206.9,128.5,221.1,,
2023,0,0,0,0,0,0,0,0,1,3.5,3.1,4.5,2.6,4.8,2.3,5.5,0,0,0,0,0,0,0,0,7,18.6,16.2,20.7,15.2,21.9,14.3,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1.4,1.9,1.3,2,1.2,2.2,9,23.7,20.7,27.1,19.1,28.7,17.8,30.8,,
